symbol,longName,regularMarketPrice,regularMarketChangePercent,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,fiftyTwoWeekRange,epsTrailingTwelveMonths,trailingPE,trailingAnnualDividendYield,12mMinMaxChange
ABEV3.SA,Ambev S.A.,15.15,1.0673772,1.64,4.34,10.68 - 16.91,0.717,21.129705,3.27,58.33
VVAR3.SA,Via Varejo S.A.,11.97,-0.5813928,-7.56,-25.9,3.96 - 22.36,0.668,17.919163,0.1,464.65
USIM5.SA,Usinas Siderúrgicas de Minas Gerais S.A.,16.58,1.344739,3.26,23.62,4.01 - 18.9,0.547,30.310787,0.81,371.32
PETR3.SA,Petróleo Brasileiro S.A. - Petrobras,23.3,1.480837,-5.08,-5.37,12.5 - 32.34,0.545,42.752293,3.43,158.72
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,23.46,1.1206824,-4.91,-3.73,12.83 - 31.76,0.545,43.045868,3.39,147.54
TOTS3.SA,TOTVS S.A.,28.18,-0.10634095,-8.62,-1.54,14.233333 - 34.94,0.513,54.931774,0.92,145.48
YDUQ3.SA,Yduqs Participações S.A.,27.09,-2.3079674,-9.33,-10.56,20.13 - 40.5,0.326,83.09816,1.69,101.19
RADL3.SA,Raia Drogasil S.A.,24.85,-0.71913826,0.49,0.09,18.96 - 27.34,0.293,84.81229,0.47,44.2
LAME4.SA,Lojas Americanas S.A.,21.6,-0.73529345,-9.11,-14.74,16.85215 - 36.79735,0.226,95.575226,0.99,118.35
HAPV3.SA,Hapvida Participações e Investimentos S.A.,15.2,-1.618123,-6.29,1.83,7.328 - 18.48,0.21,72.38095,,152.18
CIEL3.SA,Cielo S.A.,3.61,-0.5509702,-1.05,-5.23,3.15 - 5.93,0.18,20.055553,0.58,88.25
RAIL3.SA,Rumo S.A.,19.7,-0.5050428,-0.25,0.01,17.31 - 24.7,0.178,110.67416,,42.69
CCRO3.SA,CCR S.A.,12.0,-0.3322256,0.26,-5.77,10.31 - 16.1,0.095,126.31579,7.87,56.16
MGLU3.SA,Magazine Luiza S.A.,19.98,-1.5763532,-17.84,-17.71,8.3325 - 28.31,0.06,333.0,0.5,239.75
BRML3.SA,BR Malls Participações S.A.,9.81,-0.10182562,7.67,4.16,7.71 - 12.2,-0.348,,0.62,58.24
BTOW3.SA,B2W - Companhia Digital,59.29,-2.4835498,-21.66,-27.11,44.59921 - 127.469025,-0.395,,,185.81
KLBN11.SA,Klabin S.A.,28.6,0.14005923,-2.24,8.78,13.4 - 31.54,-0.454,,0.01,135.37
NTCO3.SA,Natura &Co Holding S.A.,48.76,-1.2355695,-2.52,-2.15,21.818298 - 54.6,-0.522,,0.26,150.25
ECOR3.SA,EcoRodovias Infraestrutura e Logística S.A.,11.22,0.71813214,-3.12,-7.72,8.01 - 14.97,-0.76,,,86.89
EMBR3.SA,Embraer S.A.,13.2,0.07581675,8.39,48.51,5.77 - 15.04,-0.994,,0.08,160.66
COGN3.SA,Cogna Educação S.A.,3.81,-4.51128,-6.12,-19.43,3.42 - 9.96,-1.091,,0.0,191.23
IRBR3.SA,IRB-Brasil Resseguros S.A.,6.12,0.32786855,-2.58,-10.7,5.33 - 13.094702,-1.584,,16.9,145.68
SUZB3.SA,Suzano S.A.,72.58,-0.84698784,-0.53,24.53,26.87 - 79.81,-7.949,,0.61,197.02
BRKM5.SA,Braskem S.A.,37.91,0.37066293,17.91,49.38,15.48 - 38.75,-8.409,,0.0,150.32
CVCB3.SA,CVC Brasil Operadora e Agência de Viagens S.A.,18.93,-1.3548734,4.97,7.51,8.477686 - 23.805267,-10.894,,,180.8
GOLL4.SA,Gol Linhas Aéreas Inteligentes S.A.,20.66,-1.6658751,-8.28,-5.84,9.06 - 29.03,-16.831,,,220.42
AZUL4.SA,Azul S.A.,37.37,0.42999154,-8.79,7.68,11.01 - 45.64,-31.665,,,314.53
